ur,fecha 
2.71,1/1/2001
3.23,1/2/2001
2.7,1/3/2001
2.63,1/4/2001
2.54,1/5/2001
2.48,1/6/2001
2.97,1/7/2001
2.58,1/8/2001
2.8,1/9/2001
2.99,1/10/2001
2.81,1/11/2001
2.64,1/12/2001
3.58,1/1/2002
3.06,1/2/2002
3.05,1/3/2002
2.97,1/4/2002
2.84,1/5/2002
2.77,1/6/2002
3.08,1/7/2002
3.11,1/8/2002
3.2,1/9/2002
2.93,1/10/2002
2.81,1/11/2002
2.34,1/12/2002
3.08,1/1/2003
3.01,1/2/2003
3.14,1/3/2003
3.01,1/4/2003
2.87,1/5/2003
3,1/6/2003
3.83,1/7/2003
4.09,1/8/2003
4.19,1/9/2003
3.94,1/10/2003
3.77,1/11/2003
2.94,1/12/2003
4.01,1/1/2004
4.12,1/2/2004
3.94,1/3/2004
3.88,1/4/2004
3.45,1/5/2004
3.65,1/6/2004
4.11,1/7/2004
4.44,1/8/2004
4.18,1/9/2004
4.08,1/10/2004
3.61,1/11/2004
3.52,1/12/2004
4.2,1/1/2005
3.81,1/2/2005
3.6,1/3/2005
3.71,1/4/2005
3.29,1/5/2005
3.65,1/6/2005
4.12,1/7/2005
3.68,1/8/2005
3.69,1/9/2005
3.57,1/10/2005
3.01,1/11/2005
2.83,1/12/2005
3.53,1/1/2006
3.72,1/2/2006
3.43,1/3/2006
3.31,1/4/2006
2.88,1/5/2006
3.33,1/6/2006
3.98,1/7/2006
4.03,1/8/2006
3.98,1/9/2006
3.89,1/10/2006
3.58,1/11/2006
3.47,1/12/2006
3.96,1/1/2007
4.02,1/2/2007
4.01,1/3/2007
3.6,1/4/2007
3.23,1/5/2007
3.26,1/6/2007
3.95,1/7/2007
3.92,1/8/2007
3.87,1/9/2007
3.93,1/10/2007
3.46,1/11/2007
3.4,1/12/2007
4.04,1/1/2008
3.91,1/2/2008
3.8,1/3/2008
3.61,1/4/2008
3.24,1/5/2008
3.55,1/6/2008
4.15,1/7/2008
4.15,1/8/2008
4.25,1/9/2008
4.11,1/10/2008
4.47,1/11/2008
4.32,1/12/2008
5,1/1/2009
5.3,1/2/2009
4.76,1/3/2009
5.25,1/4/2009
5.31,1/5/2009
5.17,1/6/2009
6.12,1/7/2009
6.28,1/8/2009
6.41,1/9/2009
5.94,1/10/2009
5.26,1/11/2009
4.8,1/12/2009
5.87,1/1/2010
5.43,1/2/2010
4.81,1/3/2010
5.42,1/4/2010
5.13,1/5/2010
5.05,1/6/2010
5.7,1/7/2010
5.44,1/8/2010
5.7,1/9/2010
5.7,1/10/2010
5.28,1/11/2010
4.94,1/12/2010
5.43,1/1/2011
5.38,1/2/2011
4.61,1/3/2011
5.1,1/4/2011
5.2,1/5/2011
5.42,1/6/2011
5.62,1/7/2011
5.79,1/8/2011
5.68,1/9/2011
5,1/10/2011
4.97,1/11/2011
4.51,1/12/2011
4.9,1/1/2012
5.33,1/2/2012
4.62,1/3/2012
4.86,1/4/2012
4.83,1/5/2012
4.81,1/6/2012
5.02,1/7/2012
5.39,1/8/2012
5.01,1/9/2012
5.04,1/10/2012
5.12,1/11/2012
4.47,1/12/2012
5.41,1/1/2013
4.75,1/2/2013
4.48,1/3/2013
4.96,1/4/2013
4.91,1/5/2013
5,1/6/2013
5.13,1/7/2013
5.18,1/8/2013
5.31,1/9/2013
5.01,1/10/2013
4.48,1/11/2013
4.27,1/12/2013
5.07,1/1/2014
4.66,1/2/2014
4.8,1/3/2014
4.85,1/4/2014
4.94,1/5/2014
4.82,1/6/2014
5.47,1/7/2014
5.19,1/8/2014
5.09,1/9/2014
4.77,1/10/2014
4.53,1/11/2014
3.76,1/12/2014
