Fecha,precios
Feb-69,0.36
Mar-69,0.1
Abr 1969,0.27
May-69,0
Jun-69,0.36
Jul-69,0.38
Ago 1969,0.11
Sep-69,0.94
Oct-69,1.05
Nov-69,0.01
Dic 1969,0.75
Ene 1970,0.76
Feb-70,-0.01
Mar-70,0.29
Abr 1970,0.13
May-70,0.21
Jun-70,0.61
Jul-70,0.49
Ago 1970,0.46
Sep-70,0.24
Oct-70,0.03
Nov-70,0.54
Dic 1970,0.85
Ene 1971,0.99
Feb-71,0.41
Mar-71,0.38
Abr 1971,0.51
May-71,0.21
Jun-71,0.45
Jul-71,-0.08
Ago 1971,0.91
Sep-71,0.33
Oct-71,0.1
Nov-71,0.16
Dic 1971,0.48
Ene 1972,0.44
Feb-72,0.31
Mar-72,0.55
Abr 1972,0.63
May-72,0.2
Jun-72,0.74
Jul-72,0.38
Ago 1972,0.66
Sep-72,0.46
Oct-72,0.07
Nov-72,0.65
Dic 1972,0.34
Ene 1973,1.45
Feb-73,0.83
Mar-73,0.88
Abr 1973,1.58
May-73,1.06
Jun-73,0.82
Jul-73,2.56
Ago 1973,1.6
Sep-73,2.38
Oct-73,1.28
Nov-73,1.23
Dic 1973,3.88
Ene 1974,3.58
Feb-74,2.26
Mar-74,0.77
Abr 1974,1.36
May-74,0.79
Jun-74,0.99
Jul-74,1.45
Ago 1974,1.06
Sep-74,1.13
Oct-74,1.98
Nov-74,2.78
Dic 1974,0.78
Ene 1975,1.28
Feb-75,0.55
Mar-75,0.63
Abr 1975,0.84
May-75,1.34
Jun-75,1.7
Jul-75,0.8
Ago 1975,0.87
Sep-75,0.73
Oct-75,0.51
Nov-75,0.7
Dic 1975,0.82
Ene 1976,1.93
Feb-76,1.87
Mar-76,0.98
Abr 1976,0.7
May-76,0.7
Jun-76,0.4
Jul-76,0.85
Ago 1976,0.96
Sep-76,3.41
Oct-76,5.63
Nov-76,4.52
Dic 1976,2.51
Ene 1977,3.19
Feb-77,2.21
Mar-77,1.74
Abr 1977,1.51
May-77,0.88
Jun-77,1.23
Jul-77,1.13
Ago 1977,2.05
Sep-77,1.77
Oct-77,0.76
Nov-77,1.09
Dic 1977,1.38
Ene 1978,2.22
Feb-78,1.44
Mar-78,1.04
Abr 1978,1.11
May-78,0.98
Jun-78,1.38
Jul-78,1.7
Ago 1978,1
Sep-78,1.14
Oct-78,1.21
Nov-78,1.03
Dic 1978,0.85
Ene 1979,3.55
Feb-79,1.44
Mar-79,1.36
Abr 1979,0.9
May-79,1.31
Jun-79,1.11
Jul-79,1.21
Ago 1979,1.51
Sep-79,1.23
Oct-79,1.75
Nov-79,1.29
Dic 1979,1.77
Ene 1980,4.88
Feb-80,2.31
Mar-80,2.06
Abr 1980,1.75
May-80,1.63
Jun-80,1.98
Jul-80,2.79
Ago 1980,2.07
Sep-80,1.11
Oct-80,1.51
Nov-80,1.73
Dic 1980,2.62
Ene 1981,3.22
Feb-81,2.46
Mar-81,2.14
Abr 1981,2.26
May-81,1.51
Jun-81,1.4
Jul-81,1.76
Ago 1981,2.06
Sep-81,1.86
Oct-81,2.22
Nov-81,1.92
Dic 1981,2.69
Ene 1982,4.97
Feb-82,3.93
Mar-82,3.65
Abr 1982,5.42
May-82,5.62
Jun-82,4.82
Jul-82,5.15
Ago 1982,11.22
Sep-82,5.34
Oct-82,5.18
Nov-82,5.06
Dic 1982,10.68
Ene 1983,10.88
Feb-83,5.37
Mar-83,4.84
Abr 1983,6.33
May-83,4.34
Jun-83,3.79
Jul-83,4.94
Ago 1983,3.88
Sep-83,3.08
Oct-83,3.32
Nov-83,5.87
Dic 1983,4.28
Ene 1984,6.35
Feb-84,5.28
Mar-84,4.27
Abr 1984,4.33
May-84,3.32
Jun-84,3.62
Jul-84,3.28
Ago 1984,2.84
Sep-84,2.98
Oct-84,3.49
Nov-84,3.43
Dic 1984,4.25
Ene 1985,7.42
Feb-85,4.15
Mar-85,3.87
Abr 1985,3.08
May-85,2.37
Jun-85,2.5
Jul-85,3.48
Ago 1985,4.37
Sep-85,3.99
Oct-85,3.8
Nov-85,4.61
Dic 1985,6.81
Ene 1986,8.84
Feb-86,4.45
Mar-86,4.65
Abr 1986,5.22
May-86,5.56
Jun-86,6.42
Jul-86,4.99
Ago 1986,7.97
Sep-86,6
Oct-86,5.72
Nov-86,6.76
Dic 1986,7.9
Ene 1987,8.1
Feb-87,7.22
Mar-87,6.61
Abr 1987,8.75
May-87,7.54
Jun-87,7.23
Jul-87,8.1
Ago 1987,8.17
Sep-87,6.59
Oct-87,8.33
Nov-87,7.93
Dic 1987,14.77
Ene 1988,15.46
Feb-88,8.34
Mar-88,5.12
Abr 1988,3.08
May-88,1.93
Jun-88,2.04
Jul-88,1.67
Ago 1988,0.92
Sep-88,0.57
Oct-88,0.76
Nov-88,1.34
Dic 1988,2.09
Ene 1989,2.45
Feb-89,1.36
Mar-89,1.08
Abr 1989,1.5
May-89,1.38
Jun-89,1.21
Jul-89,1
Ago 1989,0.95
Sep-89,0.96
Oct-89,1.48
Nov-89,1.4
Dic 1989,3.37
Ene 1990,4.83
Feb-90,2.26
Mar-90,1.76
Abr 1990,1.52
May-90,1.75
Jun-90,2.2
Jul-90,1.82
Ago 1990,1.7
Sep-90,1.43
Oct-90,1.44
Nov-90,2.66
Dic 1990,3.15
Ene 1991,2.55
Feb-91,1.75
Mar-91,1.43
Abr 1991,1.05
May-91,0.98
Jun-91,1.05
Jul-91,0.88
Ago 1991,0.7
Sep-91,1
Oct-91,1.16
Nov-91,2.48
Dic 1991,2.35
Ene 1992,1.82
Feb-92,1.18
Mar-92,1.02
Abr 1992,0.89
May-92,0.66
Jun-92,0.68
Jul-92,0.63
Ago 1992,0.61
Sep-92,0.87
Oct-92,0.72
Nov-92,0.83
Dic 1992,1.42
Ene 1993,1.25
Feb-93,0.82
Mar-93,0.58
Abr 1993,0.58
May-93,0.57
Jun-93,0.56
Jul-93,0.48
Ago 1993,0.54
Sep-93,0.74
Oct-93,0.41
Nov-93,0.44
Dic 1993,0.76
Ene 1994,0.78
Feb-94,0.51
Mar-94,0.51
Abr 1994,0.49
May-94,0.48
Jun-94,0.5
Jul-94,0.44
Ago 1994,0.47
Sep-94,0.71
Oct-94,0.52
Nov-94,0.53
Dic 1994,0.88
Ene 1995,3.76
Feb-95,4.24
Mar-95,5.9
Abr 1995,7.97
May-95,4.18
Jun-95,3.17
Jul-95,2.04
Ago 1995,1.66
Sep-95,2.07
Oct-95,2.06
Nov-95,2.47
Dic 1995,3.26
Ene 1996,3.59
Feb-96,2.33
Mar-96,2.2
Abr 1996,2.84
May-96,1.82
Jun-96,1.63
Jul-96,1.42
Ago 1996,1.33
Sep-96,1.6
Oct-96,1.25
Nov-96,1.52
Dic 1996,3.2
Ene 1997,2.57
Feb-97,1.68
Mar-97,1.24
Abr 1997,1.08
May-97,0.91
Jun-97,0.89
Jul-97,0.87
Ago 1997,0.89
Sep-97,1.25
Oct-97,0.8
Nov-97,1.12
Dic 1997,1.4
Ene 1998,2.18
Feb-98,1.75
Mar-98,1.17
Abr 1998,0.94
May-98,0.8
Jun-98,1.18
Jul-98,0.96
Ago 1998,0.96
Sep-98,1.62
Oct-98,1.43
Nov-98,1.77
Dic 1998,2.44
Ene 1999,2.53
Feb-99,1.34
Mar-99,0.93
Abr 1999,0.92
May-99,0.6
Jun-99,0.66
Jul-99,0.66
Ago 1999,0.56
Sep-99,0.97
Oct-99,0.63
Nov-99,0.89
Dic 1999,1
Ene 2000,1.34
Feb-00,0.89
Mar-00,0.55
Abr 2000,0.57
May-00,0.37
Jun-00,0.59
Jul-00,0.39
Ago 2000,0.55
Sep-00,0.73
Oct-00,0.69
Nov-00,0.86
Dic 2000,1.08
Ene 2001,0.55
Feb-01,-0.07
Mar-01,0.63
Abr 2001,0.5
May-01,0.23
Jun-01,0.24
Jul-01,-0.26
Ago 2001,0.59
Sep-01,0.93
Oct-01,0.45
Nov-01,0.38
Dic 2001,0.14
Ene 2002,0.92
Feb-02,-0.06
Mar-02,0.51
Abr 2002,0.55
May-02,0.2
Jun-02,0.49
Jul-02,0.29
Ago 2002,0.38
Sep-02,0.6
Oct-02,0.44
Nov-02,0.81
Dic 2002,0.44
Ene 2003,0.4
Feb-03,0.28
Mar-03,0.63
Abr 2003,0.17
May-03,-0.32
Jun-03,0.08
Jul-03,0.14
Ago 2003,0.3
Sep-03,0.6
Oct-03,0.37
Nov-03,0.83
Dic 2003,0.43
Ene 2004,0.62
Feb-04,0.6
Mar-04,0.34
Abr 2004,0.15
May-04,-0.25
Jun-04,0.16
Jul-04,0.26
Ago 2004,0.62
Sep-04,0.83
Oct-04,0.69
Nov-04,0.85
Dic 2004,0.21
Ene 2005,0
Feb-05,0.33
Mar-05,0.45
Abr 2005,0.36
May-05,-0.25
Jun-05,-0.1
Jul-05,0.39
Ago 2005,0.12
Sep-05,0.4
Oct-05,0.25
Nov-05,0.72
Dic 2005,0.61
Ene 2006,0.59
Feb-06,0.15
Mar-06,0.13
Abr 2006,0.15
May-06,-0.45
Jun-06,0.09
Jul-06,0.27
Ago 2006,0.51
Sep-06,1.01
Oct-06,0.44
Nov-06,0.52
Dic 2006,0.58
Ene 2007,0.52
Feb-07,0.28
Mar-07,0.22
Abr 2007,-0.06
May-07,-0.49
Jun-07,0.12
Jul-07,0.42
Ago 2007,0.41
Sep-07,0.78
Oct-07,0.39
Nov-07,0.71
Dic 2007,0.41
Ene 2008,0.46
Feb-08,0.3
Mar-08,0.72
Abr 2008,0.23
May-08,-0.11
Jun-08,0.41
Jul-08,0.56
Ago 2008,0.58
Sep-08,0.68
Oct-08,0.68
Nov-08,1.14
Dic 2008,0.69
Ene 2009,0.23
Feb-09,0.22
Mar-09,0.58
Abr 2009,0.35
May-09,-0.29
Jun-09,0.18
Jul-09,0.27
Ago 2009,0.24
Sep-09,0.5
Oct-09,0.3
Nov-09,0.52
Dic 2009,0.41
Ene 2010,1.09
Feb-10,0.58
Mar-10,0.71
Abr 2010,-0.32
May-10,-0.63
Jun-10,-0.03
Jul-10,0.22
Ago 2010,0.28
Sep-10,0.52
Oct-10,0.62
Nov-10,0.8
Dic 2010,0.5
Ene 2011,0.49
Feb-11,0.38
Mar-11,0.19
Abr 2011,-0.01
May-11,-0.74
Jun-11,0
Jul-11,0.48
Ago 2011,0.16
Sep-11,0.25
Oct-11,0.67
Nov-11,1.08
Dic 2011,0.82
Ene 2012,0.71
Feb-12,0.2
Mar-12,0.06
Abr 2012,-0.31
May-12,-0.32
Jun-12,0.46
Jul-12,0.56
Ago 2012,0.3
Sep-12,0.44
Oct-12,0.51
Nov-12,0.68
Dic 2012,0.23
Ene 2013,0.4
Feb-13,0.49
Mar-13,0.73
Abr 2013,0.07
May-13,-0.33
Jun-13,-0.06
Jul-13,-0.03
Ago 2013,0.28
Sep-13,0.38
Oct-13,0.48
Nov-13,0.93
Dic 2013,0.57
Ene 2014,0.89
Feb-14,0.25
Mar-14,0.27
Abr 2014,-0.19
May-14,-0.32
Jun-14,0.17
Jul-14,0.28
Ago 2014,0.36
Sep-14,0.44
Oct-14,0.55
Nov-14,0.81
Dic 2014,0.49
Ene 2015,-0.09
